x_m,y_m,w_tr_right_m,w_tr_left_m
0.0,0.0,1.75,1.75
0.05,0.0,1.75,1.75
0.1,0.0,1.75,1.75
0.15000000000000002,0.0,1.75,1.75
0.2,0.0,1.75,1.75
0.25,0.0,1.75,1.75
0.30000000000000004,0.0,1.75,1.75
0.35000000000000003,0.0,1.75,1.75
0.4,0.0,1.75,1.75
0.45,0.0,1.75,1.75
0.5,0.0,1.75,1.75
0.55,0.0,1.75,1.75
0.6000000000000001,0.0,1.75,1.75
0.65,0.0,1.75,1.75
0.7000000000000001,0.0,1.75,1.75
0.75,0.0,1.75,1.75
0.8,0.0,1.75,1.75
0.8500000000000001,0.0,1.75,1.75
0.9,0.0,1.75,1.75
0.9500000000000001,0.0,1.75,1.75
1.0,0.0,1.75,1.75
1.05,0.0,1.75,1.75
1.1,0.0,1.75,1.75
1.1500000000000001,0.0,1.75,1.75
1.2000000000000002,0.0,1.75,1.75
1.25,0.0,1.75,1.75
1.3,0.0,1.75,1.75
1.35,0.0,1.75,1.75
1.4000000000000001,0.0,1.75,1.75
1.4500000000000002,0.0,1.75,1.75
1.5,0.0,1.75,1.75
1.55,0.0,1.75,1.75
1.6,0.0,1.75,1.75
1.6500000000000001,0.0,1.75,1.75
1.7000000000000002,0.0,1.75,1.75
1.75,0.0,1.75,1.75
1.8,0.0,1.75,1.75
1.85,0.0,1.75,1.75
1.9000000000000001,0.0,1.75,1.75
1.9500000000000002,0.0,1.75,1.75
2.0,0.0,1.75,1.75
2.0500000000000003,0.0,1.75,1.75
2.1,0.0,1.75,1.75
2.15,0.0,1.75,1.75
2.2,0.0,1.75,1.75
2.25,0.0,1.75,1.75
2.3000000000000003,0.0,1.75,1.75
2.35,0.0,1.75,1.75
2.4000000000000004,0.0,1.75,1.75
2.45,0.0,1.75,1.75
2.5,0.0,1.75,1.75
2.5500000000000003,0.0,1.75,1.75
2.6,0.0,1.75,1.75
2.6500000000000004,0.0,1.75,1.75
2.7,0.0,1.75,1.75
2.75,0.0,1.75,1.75
2.8000000000000003,0.0,1.75,1.75
2.85,0.0,1.75,1.75
2.9000000000000004,0.0,1.75,1.75
2.95,0.0,1.75,1.75
3.0,0.0,1.75,1.75
3.0500000000000003,0.0,1.75,1.75
3.1,0.0,1.75,1.75
3.1500000000000004,0.0,1.75,1.75
3.2,0.0,1.75,1.75
3.25,0.0,1.75,1.75
3.3000000000000003,0.0,1.75,1.75
3.35,0.0,1.75,1.75
3.4000000000000004,0.0,1.75,1.75
3.45,0.0,1.75,1.75
3.5,0.0,1.75,1.75
3.5500000000000003,0.0,1.75,1.75
3.6,0.0,1.75,1.75
3.6500000000000004,0.0,1.75,1.75
3.7,0.0,1.75,1.75
3.75,0.0,1.75,1.75
3.8000000000000003,0.0,1.75,1.75
3.85,0.0,1.75,1.75
3.9000000000000004,0.0,1.75,1.75
3.95,0.0,1.75,1.75
4.0,0.0,1.75,1.75
4.05,0.0,1.75,1.75
4.1000000000000005,0.0,1.75,1.75
4.15,0.0,1.75,1.75
4.2,0.0,1.75,1.75
4.25,0.0,1.75,1.75
4.3,0.0,1.75,1.75
4.3500000000000005,0.0,1.7499999999999998,1.7499999999999998
4.4,0.0,1.7499999999999996,1.7499999999999996
4.45,0.0,1.7499999999999993,1.7499999999999993
4.5,0.0,1.7499999999999991,1.7499999999999991
4.55,0.0,1.7499999999999982,1.7499999999999982
4.6000000000000005,0.0,1.7499999999999973,1.7499999999999973
4.65,0.0,1.7499999999999956,1.7499999999999956
4.7,0.0,1.749999999999993,1.749999999999993
4.75,0.0,1.7499999999999885,1.7499999999999885
4.800000000000001,0.0,1.749999999999981,1.749999999999981
4.8500000000000005,0.0,1.7499999999999687,1.7499999999999687
4.9,0.0,1.7499999999999485,1.7499999999999485
4.95,0.0,1.7499999999999147,1.7499999999999147
5.0,0.0,1.7499999999998597,1.7499999999998597
5.050000000000001,0.0,1.7499999999997686,1.7499999999997686
5.1000000000000005,0.0,1.7499999999996185,1.7499999999996185
5.15,0.0,1.7499999999993707,1.7499999999993707
5.2,0.0,1.7499999999989628,1.7499999999989628
5.25,0.0,1.74999999999829,1.74999999999829
5.300000000000001,0.0,1.7499999999971805,1.7499999999971805
5.3500000000000005,0.0,1.7499999999953517,1.7499999999953517
5.4,0.0,1.7499999999923364,1.7499999999923364
5.45,0.0,1.7499999999873648,1.7499999999873648
5.5,0.0,1.749999999979168,1.749999999979168
5.550000000000001,0.0,1.749999999965654,1.749999999965654
5.6000000000000005,0.0,1.7499999999433729,1.7499999999433729
5.65,0.0,1.7499999999066378,1.7499999999066378
5.7,0.0,1.7499999998460718,1.7499999998460718
5.75,0.0,1.7499999997462155,1.7499999997462155
5.800000000000001,0.0,1.7499999995815796,1.7499999995815796
5.8500000000000005,0.0,1.7499999993101416,1.7499999993101416
5.9,0.0,1.7499999988626158,1.7499999988626158
5.95,0.0,1.7499999981247707,1.7499999981247707
6.0,0.0,1.7499999969082696,1.7499999969082696
6.050000000000001,0.0,1.7499999949025982,1.7499999949025982
6.1000000000000005,0.0,1.7499999915958053,1.7499999915958053
6.15,0.0,1.7499999861438256,1.7499999861438256
6.2,0.0,1.7499999771550308,1.7499999771550308
6.25,0.0,1.7499999623350135,1.7499999623350135
6.300000000000001,0.0,1.7499999379009368,1.7499999379009368
6.3500000000000005,0.0,1.7499998976159565,1.7499998976159565
