# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.4832,-1.8315,0.1250,0.1250
-1.4832,-1.8415,0.1250,0.1250
-1.4832,-1.8515,0.1250,0.1250
-1.4832,-1.8615,0.1250,0.1250
-1.4832,-1.8715,0.1250,0.1250
-1.4832,-1.8815,0.1250,0.1250
-1.4832,-1.8915,0.1250,0.1250
-1.4832,-1.9015,0.1250,0.1250
-1.4832,-1.9115,0.1250,0.1250
-1.4832,-1.9215,0.1250,0.1250
-1.4832,-1.9315,0.1250,0.1250
-1.4832,-1.9415,0.1250,0.1250
-1.4832,-1.9515,0.1250,0.1250
-1.4832,-1.9615,0.1250,0.1250
-1.4832,-1.9715,0.1250,0.1250
-1.4832,-1.9815,0.1250,0.1250
-1.4832,-1.9915,0.1250,0.1250
-1.4832,-2.0015,0.1250,0.1250
-1.4832,-2.0115,0.1250,0.1250
-1.4832,-2.0215,0.1250,0.1250
-1.4832,-2.0315,0.1250,0.1250
-1.4832,-2.0415,0.1250,0.1250
-1.4832,-2.0515,0.1250,0.1250
-1.4832,-2.0615,0.1250,0.1250
-1.4832,-2.0715,0.1250,0.1250
-1.4832,-2.0815,0.1250,0.1250
-1.4832,-2.0915,0.1250,0.1250
-1.4832,-2.1015,0.1250,0.1250
-1.4832,-2.1115,0.1250,0.1250
-1.4832,-2.1215,0.1250,0.1250
-1.4832,-2.1315,0.1250,0.1250
-1.4832,-2.1415,0.1250,0.1250
-1.4932,-2.1515,0.1250,0.1250
-1.4932,-2.1615,0.1250,0.1250
-1.4932,-2.1715,0.1250,0.1250
-1.4932,-2.1815,0.1250,0.1250
-1.4932,-2.1915,0.1250,0.1250
-1.4932,-2.2015,0.1250,0.1250
-1.4932,-2.2115,0.1250,0.1250
-1.4932,-2.2215,0.1250,0.1250
-1.4932,-2.2315,0.1250,0.1250
-1.4932,-2.2415,0.1250,0.1250
-1.4832,-2.2515,0.1250,0.1250
-1.4832,-2.2615,0.1250,0.1250
-1.4832,-2.2715,0.1250,0.1250
-1.4832,-2.2815,0.1250,0.1250
-1.4832,-2.2915,0.1250,0.1250
-1.4832,-2.3015,0.1250,0.1250
-1.4832,-2.3115,0.1250,0.1250
-1.4832,-2.3215,0.1250,0.1250
-1.4832,-2.3315,0.1250,0.1250
-1.4832,-2.3415,0.1250,0.1250
-1.4832,-2.3515,0.1250,0.1250
-1.4832,-2.3615,0.1250,0.1250
-1.4832,-2.3715,0.1250,0.1250
-1.4732,-2.3815,0.1250,0.1250
-1.4732,-2.3915,0.1250,0.1250
-1.4732,-2.4015,0.1250,0.1250
-1.4732,-2.4115,0.1250,0.1250
-1.4732,-2.4215,0.1250,0.1250
-1.4732,-2.4315,0.1250,0.1250
-1.4732,-2.4415,0.1250,0.1250
-1.4732,-2.4515,0.1250,0.1250
-1.4732,-2.4615,0.1250,0.1250
-1.4732,-2.4715,0.1250,0.1250
-1.4732,-2.4815,0.1250,0.1250
-1.4732,-2.4915,0.1250,0.1250
-1.4732,-2.5015,0.1250,0.1250
-1.4732,-2.5115,0.1250,0.1250
-1.4732,-2.5215,0.1250,0.1250
-1.4732,-2.5315,0.1250,0.1250
-1.4732,-2.5415,0.1250,0.1250
-1.4632,-2.5515,0.1250,0.1250
-1.4632,-2.5615,0.1250,0.1250
-1.4632,-2.5715,0.1250,0.1250
-1.4632,-2.5815,0.1250,0.1250
-1.4632,-2.5915,0.1250,0.1250
-1.4632,-2.6015,0.1250,0.1250
-1.4632,-2.6115,0.1250,0.1250
-1.4532,-2.6215,0.1250,0.1250
-1.4532,-2.6315,0.1250,0.1250
-1.4532,-2.6415,0.1250,0.1250
-1.4532,-2.6515,0.1250,0.1250
-1.4532,-2.6615,0.1250,0.1250
-1.4532,-2.6715,0.1250,0.1250
-1.4532,-2.6815,0.1250,0.1250
-1.4532,-2.6915,0.1250,0.1250
-1.4532,-2.7015,0.1250,0.1250
-1.4432,-2.7115,0.1250,0.1250
-1.4432,-2.7215,0.1250,0.1250
-1.4432,-2.7315,0.1250,0.1250
-1.4432,-2.7415,0.1250,0.1250
-1.4432,-2.7515,0.1250,0.1250
-1.4432,-2.7615,0.1250,0.1250
-1.4432,-2.7715,0.1250,0.1250
-1.4432,-2.7815,0.1250,0.1250
-1.4432,-2.7915,0.1250,0.1250
-1.4332,-2.8015,0.1250,0.1250
-1.4332,-2.8115,0.1250,0.1250
-1.4332,-2.8215,0.1250,0.1250
-1.4332,-2.8315,0.1250,0.1250
-1.4332,-2.8415,0.1250,0.1250
-1.4332,-2.8515,0.1250,0.1250
-1.4232,-2.8615,0.1250,0.1250
-1.4232,-2.8715,0.1250,0.1250
-1.4232,-2.8815,0.1250,0.1250
-1.4232,-2.8915,0.1250,0.1250
-1.4232,-2.9015,0.1250,0.1250
-1.4232,-2.9115,0.1250,0.1250
-1.4132,-2.9215,0.1250,0.1250
-1.4132,-2.9315,0.1250,0.1250
-1.4132,-2.9415,0.1250,0.1250
-1.4132,-2.9515,0.1250,0.1250
-1.4132,-2.9615,0.1250,0.1250
-1.4132,-2.9715,0.1250,0.1250
-1.4032,-2.9815,0.1250,0.1250
-1.4032,-2.9915,0.1250,0.1250
-1.4032,-3.0015,0.1250,0.1250
-1.4032,-3.0115,0.1250,0.1250
-1.3932,-3.0215,0.1250,0.1250
-1.3932,-3.0315,0.1250,0.1250
-1.3932,-3.0415,0.1250,0.1250
-1.3832,-3.0515,0.1250,0.1250
-1.3832,-3.0615,0.1250,0.1250
-1.3832,-3.0715,0.1250,0.1250
-1.3732,-3.0815,0.1250,0.1250
-1.3732,-3.0915,0.1250,0.1250
