x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2232,-1.8315,0.2900,0.2900
-1.2232,-1.8415,0.2900,0.2900
-1.2232,-1.8515,0.2900,0.2900
-1.2332,-1.8615,0.3020,0.3020
-1.2332,-1.8715,0.3039,0.3039
-1.2332,-1.8815,0.3059,0.3059
-1.2332,-1.8915,0.3079,0.3079
-1.2332,-1.9015,0.3098,0.3098
-1.2332,-1.9115,0.3100,0.3100
-1.2332,-1.9215,0.3100,0.3100
-1.2332,-1.9315,0.3100,0.3100
-1.2332,-1.9415,0.3100,0.3100
-1.2332,-1.9515,0.3100,0.3100
-1.2332,-1.9615,0.3100,0.3100
-1.2332,-1.9715,0.3100,0.3100
-1.2332,-1.9815,0.3100,0.3100
-1.2332,-1.9915,0.3100,0.3100
-1.2332,-2.0015,0.3100,0.3100
-1.2232,-2.0115,0.3100,0.3100
-1.2232,-2.0215,0.3100,0.3100
-1.2232,-2.0315,0.3100,0.3100
-1.2232,-2.0415,0.3100,0.3100
-1.2132,-2.0515,0.3000,0.3000
-1.2132,-2.0615,0.3000,0.3000
-1.2132,-2.0715,0.3000,0.3000
-1.2132,-2.0815,0.3000,0.3000
-1.2132,-2.0915,0.3000,0.3000
-1.2132,-2.1015,0.3000,0.3000
-1.2132,-2.1115,0.3000,0.3000
-1.2132,-2.1215,0.3000,0.3000
-1.2032,-2.1315,0.2900,0.2900
-1.2032,-2.1415,0.2900,0.2900
-1.2032,-2.1515,0.2900,0.2900
-1.2032,-2.1615,0.2900,0.2900
-1.2032,-2.1715,0.2900,0.2900
-1.2032,-2.1815,0.2900,0.2900
-1.2032,-2.1915,0.2900,0.2900
-1.2032,-2.2015,0.2900,0.2900
-1.2032,-2.2115,0.2900,0.2900
-1.2032,-2.2215,0.2900,0.2900
-1.1932,-2.2315,0.2800,0.2800
-1.1932,-2.2415,0.2800,0.2800
-1.1932,-2.2515,0.2800,0.2800
-1.1932,-2.2615,0.2800,0.2800
-1.1932,-2.2715,0.2800,0.2800
-1.1932,-2.2815,0.2800,0.2800
-1.1932,-2.2915,0.2820,0.2820
-1.1932,-2.3015,0.2839,0.2839
-1.1932,-2.3115,0.2859,0.2859
-1.1932,-2.3215,0.2879,0.2879
-1.1932,-2.3315,0.2898,0.2898
-1.1832,-2.3415,0.2818,0.2818
-1.1832,-2.3515,0.2838,0.2838
-1.1832,-2.3615,0.2858,0.2858
-1.1832,-2.3715,0.2877,0.2877
-1.1832,-2.3815,0.2897,0.2897
-1.1832,-2.3915,0.2917,0.2917
-1.1832,-2.4015,0.2936,0.2936
-1.1832,-2.4115,0.2956,0.2956
-1.1832,-2.4215,0.2996,0.2996
-1.1832,-2.4315,0.3000,0.3000
-1.1732,-2.4415,0.2936,0.2936
-1.1732,-2.4515,0.2956,0.2956
-1.1732,-2.4615,0.2996,0.2996
-1.1732,-2.4715,0.3000,0.3000
-1.1732,-2.4815,0.3000,0.3000
-1.1732,-2.4915,0.3000,0.3000
-1.1732,-2.5015,0.3000,0.3000
-1.1732,-2.5115,0.2997,0.2997
-1.1632,-2.5215,0.2959,0.2959
-1.1632,-2.5315,0.2979,0.2979
-1.1632,-2.5415,0.2998,0.2998
-1.1532,-2.5515,0.2900,0.2900
-1.1532,-2.5615,0.2900,0.2900
-1.1532,-2.5715,0.2900,0.2900
-1.1432,-2.5815,0.2800,0.2800
-1.1432,-2.5915,0.2800,0.2800
-1.1432,-2.6015,0.2820,0.2820
-1.1332,-2.6115,0.2739,0.2739
-1.1332,-2.6215,0.2759,0.2759
-1.1332,-2.6315,0.2779,0.2779
-1.1332,-2.6415,0.2798,0.2798
-1.1232,-2.6515,0.2700,0.2700
-1.1232,-2.6615,0.2720,0.2720
-1.1232,-2.6715,0.2739,0.2739
-1.1232,-2.6815,0.2759,0.2759
-1.1232,-2.6915,0.2779,0.2779
-1.1232,-2.7015,0.2798,0.2798
-1.1232,-2.7115,0.2818,0.2818
-1.1232,-2.7215,0.2838,0.2838
-1.1232,-2.7315,0.2836,0.2836
-1.1132,-2.7415,0.2777,0.2777
-1.1132,-2.7515,0.2797,0.2797
-1.1132,-2.7615,0.2817,0.2817
-1.1132,-2.7715,0.2836,0.2836
-1.1132,-2.7815,0.2817,0.2817
-1.1132,-2.7915,0.2797,0.2797
-1.1032,-2.8015,0.2836,0.2836
-1.1032,-2.8115,0.2856,0.2856
-1.1032,-2.8215,0.2836,0.2836
-1.1032,-2.8315,0.2817,0.2817
-1.1032,-2.8415,0.2797,0.2797
-1.0932,-2.8515,0.2877,0.2877
-1.0932,-2.8615,0.2856,0.2856
-1.0932,-2.8715,0.2836,0.2836
-1.0932,-2.8815,0.2817,0.2817
-1.0932,-2.8915,0.2797,0.2797
-1.0832,-2.9015,0.2877,0.2877
-1.0832,-2.9115,0.2856,0.2856
-1.0832,-2.9215,0.2836,0.2836
-1.0732,-2.9315,0.2917,0.2917
-1.0732,-2.9415,0.2897,0.2897
-1.0732,-2.9515,0.2877,0.2877
-1.0632,-2.9615,0.2956,0.2956
-1.0632,-2.9715,0.2936,0.2936
-1.0532,-2.9815,0.3017,0.3017
-1.0532,-2.9915,0.2997,0.2997
-1.0432,-3.0015,0.3076,0.3076
-1.0432,-3.0115,0.3056,0.3056
-1.0332,-3.0215,0.3076,0.3076
-1.0332,-3.0315,0.3076,0.3076
-1.0232,-3.0415,0.3076,0.3076
-1.0232,-3.0515,0.3076,0.3076
-1.0132,-3.0615,0.3117,0.3117
-1.0132,-3.0715,0.3076,0.3076
-1.0032,-3.0815,0.3136,0.3136
-1.0032,-3.0915,0.3076,0.3076
-0.9932,-3.1015,0.3136,0.3136
-0.9932,-3.1115,0.3076,0.3076
-0.9832,-3.1215,0.3136,0.3136
-0.9732,-3.1315,0.3076,0.3076
-0.9732,-3.1415,0.3136,0.3136
-0.9632,-3.1515,0.3117,0.3117
-0.9532,-3.1615,0.3076,0.3076
-0.9532,-3.1715,0.3136,0.3136
-0.9532,-3.1815,0.3076,0.3076
-0.9432,-3.1915,0.3136,0.3136
-0.9332,-3.2015,0.3158,0.3158
-0.9232,-3.2115,0.3138,0.3138
-0.9232,-3.2215,0.3136,0.3136
-0.9132,-3.2315,0.3160,0.3160
-0.9032,-3.2415,0.3160,0.3160
-0.8932,-3.2515,0.3160,0.3160
-0.8832,-3.2615,0.3160,0.3160
-0.8732,-3.2715,0.3160,0.3160
-0.8632,-3.2815,0.3160,0.3160
-0.8532,-3.2915,0.3136,0.3136
-0.8432,-3.3015,0.3117,0.3117
-0.8332,-3.3115,0.3076,0.3076
-0.8232,-3.3215,0.3056,0.3056
-0.8132,-3.3215,0.3117,0.3117
-0.8032,-3.3315,0.3076,0.3076
-0.7932,-3.3415,0.3056,0.3056
-0.7832,-3.3515,0.2996,0.2996
-0.7732,-3.3515,0.3056,0.3056
-0.7632,-3.3615,0.2996,0.2996
-0.7532,-3.3715,0.2936,0.2936
-0.7432,-3.3815,0.2856,0.2856
-0.7332,-3.3815,0.2916,0.2916
-0.7232,-3.3915,0.2856,0.2856
-0.7132,-3.4015,0.2836,0.2836
-0.7032,-3.4015,0.2856,0.2856
-0.6932,-3.4115,0.2817,0.2817
-0.6832,-3.4215,0.2736,0.2736
-0.6732,-3.4215,0.2776,0.2776
-0.6632,-3.4215,0.2836,0.2836
-0.6532,-3.4315,0.2776,0.2776
-0.6432,-3.4315,0.2836,0.2836
-0.6332,-3.4415,0.2776,0.2776
-0.6232,-3.4415,0.2817,0.2817
-0.6132,-3.4515,0.2736,0.2736
-0.6032,-3.4515,0.2776,0.2776
-0.5932,-3.4515,0.2776,0.2776
-0.5832,-3.4615,0.2776,0.2776
-0.5732,-3.4615,0.2776,0.2776
-0.5632,-3.4715,0.2736,0.2736
-0.5532,-3.4715,0.2776,0.2776
-0.5432,-3.4715,0.2736,0.2736
-0.5332,-3.4815,0.2736,0.2736
-0.5232,-3.4815,0.2736,0.2736
-0.5132,-3.4815,0.2717,0.2717
-0.5032,-3.4915,0.2717,0.2717
-0.4932,-3.4915,0.2736,0.2736
-0.4832,-3.4915,0.2717,0.2717
-0.4732,-3.4915,0.2697,0.2697
-0.4632,-3.5015,0.2697,0.2697
-0.4532,-3.5015,0.2717,0.2717
-0.4432,-3.5015,0.2697,0.2697
-0.4332,-3.5015,0.2677,0.2677
-0.4232,-3.5115,0.2677,0.2677
-0.4132,-3.5115,0.2697,0.2697
-0.4032,-3.5115,0.2717,0.2717
-0.3932,-3.5115,0.2697,0.2697
-0.3832,-3.5115,0.2677,0.2677
-0.3732,-3.5215,0.2677,0.2677
-0.3632,-3.5215,0.2697,0.2697
-0.3532,-3.5215,0.2717,0.2717
-0.3432,-3.5215,0.2697,0.2697
-0.3332,-3.5215,0.2677,0.2677
-0.3232,-3.5315,0.2697,0.2697
-0.3132,-3.5315,0.2717,0.2717
-0.3032,-3.5315,0.2717,0.2717
-0.2932,-3.5315,0.2697,0.2697
-0.2832,-3.5415,0.2697,0.2697
-0.2732,-3.5415,0.2717,0.2717
-0.2632,-3.5515,0.2636,0.2636
-0.2532,-3.5515,0.2697,0.2697
-0.2432,-3.5515,0.2717,0.2717
-0.2332,-3.5615,0.2636,0.2636
-0.2232,-3.5615,0.2677,0.2677
-0.2132,-3.5615,0.2697,0.2697
-0.2032,-3.5715,0.2617,0.2617
-0.1932,-3.5715,0.2636,0.2636
-0.1832,-3.5815,0.2558,0.2558
-0.1732,-3.5815,0.2577,0.2577
-0.1632,-3.5915,0.2497,0.2497
-0.1532,-3.5915,0.2517,0.2517
-0.1432,-3.5915,0.2557,0.2557
-0.1332,-3.6015,0.2477,0.2477
-0.1232,-3.6015,0.2497,0.2497
-0.1132,-3.6015,0.2517,0.2517
-0.1032,-3.6115,0.2458,0.2458
-0.0932,-3.6115,0.2477,0.2477
-0.0832,-3.6115,0.2497,0.2497
-0.0732,-3.6115,0.2517,0.2517
-0.0632,-3.6215,0.2477,0.2477
-0.0532,-3.6215,0.2497,0.2497
-0.0432,-3.6215,0.2517,0.2517
-0.0332,-3.6315,0.2477,0.2477
-0.0232,-3.6315,0.2497,0.2497
-0.0132,-3.6315,0.2517,0.2517
-0.0032,-3.6415,0.2477,0.2477
0.0068,-3.6415,0.2497,0.2497
0.0168,-3.6415,0.2517,0.2517
0.0268,-3.6415,0.2517,0.2517
0.0368,-3.6515,0.2497,0.2497
0.0468,-3.6515,0.2517,0.2517
0.0568,-3.6515,0.2517,0.2517
0.0668,-3.6615,0.2477,0.2477
0.0768,-3.6615,0.2497,0.2497
0.0868,-3.6615,0.2517,0.2517
0.0968,-3.6715,0.2477,0.2477
0.1068,-3.6715,0.2497,0.2497
0.1168,-3.6715,0.2517,0.2517
0.1268,-3.6715,0.2517,0.2517
0.1368,-3.6815,0.2497,0.2497
0.1468,-3.6815,0.2517,0.2517
0.1568,-3.6815,0.2517,0.2517
0.1668,-3.6815,0.2497,0.2497
0.1768,-3.6815,0.2477,0.2477
0.1868,-3.6915,0.2517,0.2517
0.1968,-3.6915,0.2497,0.2497
0.2068,-3.6915,0.2477,0.2477
0.2168,-3.6915,0.2458,0.2458
0.2268,-3.7015,0.2517,0.2517
0.2368,-3.7015,0.2497,0.2497
0.2468,-3.7015,0.2477,0.2477
0.2568,-3.7115,0.2557,0.2557
0.2668,-3.7115,0.2538,0.2538
0.2768,-3.7115,0.2517,0.2517
0.2868,-3.7215,0.2517,0.2517
0.2968,-3.7215,0.2538,0.2538
0.3068,-3.7215,0.2558,0.2558
0.3168,-3.7215,0.2538,0.2538
0.3268,-3.7315,0.2497,0.2497
0.3368,-3.7315,0.2517,0.2517
0.3468,-3.7315,0.2538,0.2538
0.3568,-3.7415,0.2458,0.2458
0.3668,-3.7415,0.2477,0.2477
0.3768,-3.7415,0.2497,0.2497
0.3868,-3.7415,0.2517,0.2517
0.3968,-3.7515,0.2438,0.2438
0.4068,-3.7515,0.2458,0.2458
0.4168,-3.7515,0.2477,0.2477
0.4268,-3.7515,0.2497,0.2497
0.4368,-3.7515,0.2517,0.2517
0.4468,-3.7615,0.2458,0.2458
0.4568,-3.7615,0.2477,0.2477
0.4668,-3.7615,0.2497,0.2497
0.4768,-3.7615,0.2517,0.2517
0.4868,-3.7615,0.2517,0.2517
0.4968,-3.7715,0.2497,0.2497
0.5068,-3.7715,0.2517,0.2517
0.5168,-3.7715,0.2557,0.2557
0.5268,-3.7715,0.2517,0.2517
0.5368,-3.7715,0.2497,0.2497
0.5468,-3.7815,0.2557,0.2557
0.5568,-3.7815,0.2558,0.2558
0.5668,-3.7815,0.2538,0.2538
0.5768,-3.7815,0.2517,0.2517
0.5868,-3.7815,0.2497,0.2497
